customer_id,recency,frequency,monetary,age,tenure,web_visits,store_visits,complaints,returns_pct,loyalty_score,segment_truth
1,6,13,181.73,22,7.9,19,5,1,0.143,57,Active
2,20,8,1313.63,32,3.1,22,9,1,0.045,6,Occasional
3,9,15,1701.62,58,0.7,35,4,0,0.062,97,Regular
4,1,6,303.41,39,6.3,17,13,0,0.241,93,Active
5,14,8,1036.58,63,5.1,25,4,1,0.057,74,Active
6,44,11,251.4,27,8.8,22,7,0,0.094,11,Occasional
7,9,13,820.27,57,6,32,6,0,0.238,61,Regular
8,12,9,98.78,76,7.6,26,12,0,0.197,96,Active
9,36,7,477.29,50,3.6,22,11,0,0.232,69,Occasional
10,21,15,857.82,20,5.2,26,12,0,0.127,91,Regular
11,40,12,479.27,47,1.3,26,18,0,0.263,28,Occasional
12,72,14,1420.8,40,10,33,7,0,0.024,80,Regular
13,3,9,281.65,47,6.4,17,11,1,0.061,93,Active
14,2,8,1721.71,32,7.4,25,13,1,0.198,6,Active
15,38,15,688.14,42,1.8,31,15,0,0.112,96,Regular
16,9,12,742.74,35,6.4,18,9,1,0.281,57,Regular
17,14,12,634.02,36,4.2,28,8,2,0.258,43,Regular
18,19,11,265.75,50,8.8,27,11,0,0.03,57,Occasional
19,37,8,769.04,30,1.2,22,6,0,0.004,2,Occasional
20,11,14,595.82,32,9.1,25,9,0,0.262,55,Regular
21,146,13,1462.25,46,6.9,24,12,0,0.083,38,Regular
22,20,11,639.48,50,2.2,28,9,1,0.113,41,Regular
23,150,9,775.17,49,8.6,14,9,2,0.023,86,Dormant
24,7,13,1121.67,53,6.9,34,8,1,0.29,34,Regular
25,36,11,593.74,45,8.7,23,9,1,0.19,89,Regular
26,22,8,1075.72,45,5.4,32,2,0,0.075,60,Occasional
27,39,6,378.53,70,4.5,31,10,0,0.126,71,Occasional
28,8,14,400.76,69,7.1,30,6,0,0.074,21,Active
29,7,11,1554.3,63,0.6,37,8,2,0.176,91,Regular
30,39,10,150.22,79,4.4,19,6,1,0.155,92,Occasional
31,17,14,285.47,67,4.9,20,6,0,0.244,12,Occasional
32,91,10,523.9,56,5.1,28,6,0,0.099,39,Dormant
33,15,16,1601.2,54,5,18,10,0,0.001,7,VIP
34,11,14,558.73,47,6.8,23,11,0,0.002,74,Regular
35,53,8,643.7,51,1.1,30,9,0,0.176,41,Occasional
36,22,9,5299.69,65,6.9,21,5,0,0.247,48,Occasional
37,1,14,55.03,75,3.7,23,11,0,0.075,58,Active
38,11,11,176.3,28,8.9,25,6,0,0.192,36,Active
39,12,9,517.49,45,5.2,22,7,0,0.058,50,Active
40,57,11,1316.48,48,5.7,27,9,0,0.178,64,Regular
41,23,5,331.58,47,3.9,24,9,1,0.03,0,Occasional
42,20,18,1224.77,24,7.1,27,6,2,0.034,26,VIP
43,12,7,516.96,24,5.3,33,10,0,0.161,44,Active
44,42,11,1138.33,54,8.3,25,8,0,0.242,82,Regular
45,46,15,646.09,36,3.4,29,8,1,0.106,62,Regular
46,13,14,452.47,27,0.5,26,9,0,0.024,78,Active
47,125,7,537.94,43,6,21,5,0,0.286,91,Dormant
48,36,16,15.93,42,3.7,26,4,0,0.15,24,Occasional
49,1,12,760.14,53,7.4,20,5,0,0.081,56,Regular
50,205,10,810.77,18,1.6,24,6,0,0.076,36,Dormant
51,5,20,158.09,18,7.6,20,7,1,0.245,49,Active
52,49,9,157.23,55,4.7,30,13,1,0.155,56,Occasional
53,34,7,90.97,49,1.3,29,5,0,0.171,39,Occasional
54,9,4,667.39,47,9.8,26,9,1,0.241,50,Occasional
55,17,19,358.21,39,6,31,5,0,0.097,7,Occasional
56,4,9,220.06,18,9.1,21,8,1,0.175,29,Active
57,43,13,196.5,31,6.2,23,5,1,0.21,50,Occasional
58,27,12,847.9,52,3.5,29,12,0,0.16,75,Regular
59,10,14,414.94,53,0.1,18,5,1,0.266,6,Active
60,254,14,462.64,70,1.4,31,6,1,0.075,86,Dormant
61,14,14,1362.94,40,8.2,33,6,1,0.277,10,Regular
62,31,9,899.15,47,4.4,27,11,3,0.165,61,Occasional
63,1,12,1184.64,57,0.6,15,3,0,0.043,80,Regular
64,15,13,212.65,50,8.3,20,5,0,0.08,30,Occasional
65,7,18,462.29,39,4.4,27,4,0,0.239,25,Active
66,8,14,176.11,18,3,25,8,2,0.197,12,Active
67,46,11,146.98,62,4.6,22,6,1,0.226,83,Occasional
68,15,15,1264.33,55,3.9,29,7,0,0.055,27,Regular
69,14,9,214,57,3.5,23,5,1,0.091,64,Active
70,2,11,299.22,56,4.5,20,5,1,0.152,35,Active
71,171,12,325.87,54,2.3,37,6,0,0.204,15,Dormant
72,7,12,399.83,70,5.3,24,7,2,0.006,82,Active
73,20,11,869.36,42,1.2,29,5,0,0.103,5,Regular
74,15,11,631.39,75,6.6,30,12,0,0.293,62,Regular
75,32,14,1793.3,47,2.5,25,14,1,0.1,95,Regular
76,200,11,336.84,38,7.7,39,11,1,0.139,61,Dormant
77,33,9,387.96,20,9.2,19,13,0,0.277,3,Occasional
78,7,12,609.49,54,6.9,25,12,0,0.063,92,Regular
79,20,8,843.17,44,4.3,26,3,0,0.202,90,Occasional
80,34,20,900.84,24,7.6,35,8,0,0.181,61,Regular
